pk_name, mk_path, license, version
acl-manager, feeds/feed_prpl/ambiorix/apps/acl-manager/Makefile, BSD-2-Clause-Patent, v0.6.5-1
amx-cli, feeds/feed_prpl/ambiorix/apps/amx-cli/Makefile, BSD-2-Clause-Patent, v0.4.2-1
amx-fcgi, feeds/feed_prpl/ambiorix/apps/amx-fcgi/Makefile, BSD-2-Clause-Patent, v1.3.7-1
amxb-inspect, feeds/feed_prpl/ambiorix/apps/amxb-inspect/Makefile, BSD-2-Clause-Patent, v1.2.1-1
amxo-cg, feeds/feed_prpl/ambiorix/apps/amxo-cg/Makefile, BSD-2-Clause-Patent, v1.2.14-1
amxrt, feeds/feed_prpl/ambiorix/apps/amxrt/Makefile, BSD-2-Clause-Patent, v2.1.2-1
libamxa, feeds/feed_prpl/ambiorix/libs/libamxa/Makefile, BSD-2-Clause-Patent, v0.10.29-1
libamxb, feeds/feed_prpl/ambiorix/libs/libamxb/Makefile, BSD-2-Clause-Patent, v4.7.21-1
libamxc, feeds/feed_prpl/ambiorix/libs/libamxc/Makefile, BSD-2-Clause-Patent, v1.10.0-1
libamxd, feeds/feed_prpl/ambiorix/libs/libamxd/Makefile, BSD-2-Clause-Patent, v6.1.2-1
libamxj, feeds/feed_prpl/ambiorix/libs/libamxj/Makefile, BSD-2-Clause-Patent, v0.3.63-1
libamxm, feeds/feed_prpl/ambiorix/libs/libamxm/Makefile, BSD-2-Clause-Patent, v0.0.62-1
libamxo, feeds/feed_prpl/ambiorix/libs/libamxo/Makefile, BSD-2-Clause-Patent, v4.2.6-1
libamxp, feeds/feed_prpl/ambiorix/libs/libamxp/Makefile, BSD-2-Clause-Patent, v1.3.1-1
libamxrt, feeds/feed_prpl/ambiorix/libs/libamxrt/Makefile, BSD-2-Clause-Patent, v0.3.6-1
libamxs, feeds/feed_prpl/ambiorix/libs/libamxs/Makefile, BSD-2-Clause-Patent, v0.4.8-1
libamxt, feeds/feed_prpl/ambiorix/libs/libamxt/Makefile, BSD-2-Clause-Patent, v0.2.25-1
libsahtrace, feeds/feed_prpl/ambiorix/libs/libsahtrace/Makefile, BSD-2-Clause-Patent, v1.14.0-1
uriparser, feeds/feed_prpl/ambiorix/libs/uriparser/Makefile, BSD-3-Clause, 0.9.3-1
mod-amxb-ubus, feeds/feed_prpl/ambiorix/mods/mod-amxb-ubus/Makefile, BSD-2-Clause-Patent, v3.1.28-1
mod-ba-cli, feeds/feed_prpl/ambiorix/mods/mod-ba-cli/Makefile, BSD-2-Clause-Patent, v0.9.0-1
mod-dm-cli, feeds/feed_prpl/ambiorix/mods/mod-dm-cli/Makefile, BSD-2-Clause-Patent, v0.2.6-1
mod-lua-amx, feeds/feed_prpl/ambiorix/mods/mod-lua-amx/Makefile, BSD-2-Clause-Patent, v0.1.10-1
